"","mz","rt","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"M323.1439T3505.4",323.14394325296,3505.423,158127.916235296,277326.355764704,397502.883529409,307340.01368421,155371.3659,230601.254526315,323742.511058821,330337.862999998,354443.364526315,313828.285473688,136403.942526315,222893.888736842
"M324.0943T2791.7",324.094340549664,2791.6645,339832.022400005,284679.760000001,341633.138608697,175297.955891927,264128.199916667,283695.318260871,455424.617142858,379752.33195,303409.426791665,224206.885541668,241936.248091264,303097.266454546
"M324.1584T3275.3",324.158399885216,3275.343,221263.213578947,388214.928736847,186860.975578947,162564.375000001,148367.965157894,182694.969999998,30138.044921875,48752.4502088759,27555.3068462171,14009.294921875,25899.0799967448,19821.3821072049
"M326.2T3418.9",326.200012207031,3418.8865,4809521.44842104,3931304.6352,2913711.5472,2819100.93,3284987.2808421,4346409.703579,259229.27265,314154.3228,161900.583619048,200939.740000001,247976.865157894,237853.6206
"M327.1T3505.9",327.100006103516,3505.943,190747.102000002,275564.807444443,465617.920555553,263114.601052631,185070.329999999,202417.739166666,356507.684470586,296447.42611111,416275.22222222,248423.975944447,115602.492675781,184970.519157894
"M327.1989T3420.6",327.198887208875,3420.574,1108851.28263158,950126.528549999,674222.71365,677091.267,772290.305399999,1013977.91336843,59918.1294433594,30491.3351408306,22437.3347710503,5419.75264246324,49788.1628160979,8876.29371402138
"M328.2T3618.7",328.200012207031,3618.725,6463382.8665263,5630552.3844,4398403.51494736,3085430.3808,3289887.96840005,2626186.4136,402409.00136842,573880.805000002,403748.596315788,412858.154947367,385802.428650005,297208.544421052
"M329.1051T3499.4",329.105092281085,3499.3945,325363.790117645,367926.805000001,409585.08472222,291867.379052631,259407.67695,211961.166421052,432441.760235291,481405.639764711,382402.714210525,227057.789444443,187019.34975,161229.429999999
"M329.2T3621.7",329.200012207031,3621.651,1521141.36168421,1315446.8916,990625.76873684,707798.715899999,759301.2204,605854.743,114347.574315789,91557.5106811523,90124.3022460938,54205.2787155878,42964.0772372159,7832.00046705163
"M330.191T3618.7",330.190995048881,3618.725,201588.695263157,167042.482105263,143015.845157894,105447.718631579,92547.857473684,95737.3811999999,3154.95489032452,1100.82177734375,4871.03741096048,12609.7134399414,10502.7983630952,10531.4762073864
"M331.1459T3497.6",331.145851824147,3497.629,466357.165411769,490815.3,438999.397375004,372786.981055554,320962.880526315,307401.046631578,600145.551529418,402078.234999999,301914.002249997,414769.745666665,312639.4512,388149.200947373
"M335T2786",335,2786.041,382769.55555,1344842.91240002,190478.179047619,255464.744954546,163243.312761905,47842.9495849609,215083.925333334,843755.312100012,1435113.39672728,591752.314695647,763566.362000002,130790.895238095
"M338.1T3023.6",338.100006103516,3023.583,396319.791157894,441040.4688,411133.582947367,212310.14968421,341346.319999999,356067.779894741,364577.282499998,358070.434999997,360865.908526315,214432.218315789,438100.755999999,354304.084210531
"M338.2T3649.7",338.200012207031,3649.674,614212.525444442,605655.000000002,622113.929944452,335737.548631578,364966.68435,356312.810888893,557322.100055562,641973.074944441,476072.638947367,342120.329722221,339368.22652632,328142.859052631
"M339.1878T3319.8",339.187782065975,3319.8485,3474207.11095652,3533684.34573914,3243829.35860867,2482697.10469566,2321804.12254546,2311412.82436364,3467091.654,3924276.99699997,3301294.56208693,2476099.24800001,2415701.39527273,2138854.67636364
"M343T2684.5",343,2684.479,20269361.9199999,21948623.1359999,17930719.6444444,15378115.2937143,15793756.4586666,17800198.0504617,22065406.8258461,17773756.4603076,14333257.9034074,13440374.5721379,15108077.3262222,18737045.9022223
"M344T2684.5",344,2684.479,4426345.38367998,4808488.3033846,3954886.76207407,3374426.07171428,3500474.55514285,3862062.16338464,4933534.99015383,3982326.32769229,3276619.29422222,2910182.54628571,3298613.41107691,4092027.59644448
"M344.1385T2911.1",344.138498107545,2911.0685,64067.761640625,781070.545071428,669103.342879997,621011.554461533,548931.574999996,475386.242272728,145148.378730469,706044.223680005,695608.329583337,623623.088423082,619525.598086959,532428.835454547
